Zeitstempel,Welche der folgenden Entwicklungsumgebungen hast du im letzten Jahr benutzt?,Welche der folgenden Entwicklungsumgebungen hast du am Anfang deines Studiums (1./2. Semester) genutzt?,Welche IDE nutzt du am meisten?,Welche IDE findest du am besten?,Warum findest du diese IDE am besten?,Welchen konsolenbasierten Editor nutzt du am meisten?,Welchen konsolenbasierten Editor findest du am besten?,Warum findest du diesen Editor am besten?,Welchen Editor mit GUI nutzt du am meisten?,Welchen Editor mit GUI findest du am besten?,Warum findest du diesen Editor mit GUI am besten?,Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [IntelliJ],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Eclipse],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Xcode],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Vim],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Atom],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Microsoft Visual Studio],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Netbeans],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [PyCharm],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Code::Blocks],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Sublime],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Gedit],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [IntelliJ],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Eclipse],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Xcode],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Vim],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Atom],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Microsoft Visual Studio],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Netbeans],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [PyCharm],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Code::Blocks],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Sublime],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Gedit],"Was sind Features, die dir in einer Entwicklungsumgebung am wichtigsten sind?"
31.05.2019 13:11:07,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Microsoft Visual Studio,Microsoft Visual Studio,,Keinen,Keinen,,Notepad++,Notepad++,,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,,,,,"C/C++, JavaScript, C#",,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 13:12:03,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,neovim,neovim,Weil er besser als vim ist. Emacs ist ein Betriebssystem und nur mit dem Plugin Evilmode benutzbar.,Visual Studio Code,Visual Studio Code,"Plugin Support, themeable, Ligatur Unterstützung, ",Sehr gut,Gut,Mittelmäßig,Sehr gut,Gut,Gut,Mittelmäßig,Mittelmäßig,Schlecht,Gut,Mittelmäßig,Java/Kotlin,,,"C/C++, Java/Kotlin, JavaScript, PHP, C#, Python, Bash/Konsolen-Scripts",,C#,Java/Kotlin,,,,Bash/Konsolen-Scripts,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting"
31.05.2019 13:12:50,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,Eclipse,Hab keine der anderen lange genug benutzt,Keinen,Keinen,,Gedit,Notepad++,,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,,"Java/Kotlin, Python",,,,,,,,,"C/C++, Python","Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 13:13:01,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Nano,Nano,,Notepad++,Atom,,Sehr gut,Mittelmäßig,Mittelmäßig,Gut,Gut,Gut,Gut,Sehr gut,Gut,Mittelmäßig,Gut,"JavaScript, Python, Bash/Konsolen-Scripts",Java/Kotlin,C/C++,Bash/Konsolen-Scripts,"C/C++, JavaScript",JavaScript,"C/C++, Java/Kotlin",,C/C++,Bash/Konsolen-Scripts,Bash/Konsolen-Scripts,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Syntax-Highlighting"
31.05.2019 13:16:20,"Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,Keine,,Nano,Nano,,Notepad++,Notepad++,,Nicht einschätzbar,Gut,Gut,Mittelmäßig,Mittelmäßig,Schlecht,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Schlecht,,Java/Kotlin,C/C++,Bash/Konsolen-Scripts,,,,,,"C/C++, Python, Bash/Konsolen-Scripts",,"Codevervollständigung, Syntax-Highlighting"
31.05.2019 13:16:45,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Microsoft Visual Studio,Microsoft Visual Studio,,Vim,Vim,,Visual Studio Code,Visual Studio Code,,Nicht einschätzbar,Gut,Nicht einschätzbar,Mittelmäßig,Mittelmäßig,Sehr gut,Mittelmäßig,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,Java/Kotlin,,,"JavaScript, Python, Bash/Konsolen-Scripts","C/C++, JavaScript, C#",Java/Kotlin,,,,,"Codevervollständigung, Codegenerierung, Debugger, Syntax-Highlighting"
31.05.2019 13:17:35,"Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Atom mit IDE-Plugins,Microsoft Visual Studio,,Keinen,Emacs,,Atom,Atom,,Nicht einschätzbar,Mittelmäßig,Mittelmäßig,Mittelmäßig,Sehr gut,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,,Bash/Konsolen-Scripts,,"C/C++, Java/Kotlin, JavaScript, Python",,,,,,,"Debugger, Syntax-Highlighting"
31.05.2019 13:19:11,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Atom mit IDE-Plugins,Eclipse,weil sie alles was du machen könntest mit einem Shortcut (Strg+Leertaste) anzeigt. Bei den anderen IDEs ist das etwas eingeschränkter.,Nano,Keinen,,Atom,"Ich habe leider keine Erfahrung mit Visual Studio Code und Sublime, deßhalb kann ich das schlecht beurteilen.",,Nicht einschätzbar,Sehr gut,Gut,Sehr schlecht,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Nicht einschätzbar,Gut,,Java/Kotlin,,,"C/C++, JavaScript, PHP, Python",,,,C/C++,,"C/C++, Python","Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting"
31.05.2019 13:20:10,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,Microsoft Visual Studio,Umfangreich,Keinen,Keinen,,Atom,Atom,,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Gut,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,"C/C++, Java/Kotlin",,,,"C/C++, Java/Kotlin",,,"C/C++, Java/Kotlin",,,"Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 13:20:30,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,"Zuverlässiges Refactoring, Code/Library inspection, Integration (alles aus einer Hand), Gleiche IDE für alle gängigen Sprachen, Out-Of-The-Box Unterstützung von Code-Konventionen allgemeine Eleganz & Effizienz der Nutzung, minimaler Setup-Aufwand, komfortabler Debugger und Profiler.",Keinen,Keinen,,Visual Studio Code,Visual Studio Code,Nicht so lahm wie Atom.,Sehr gut,Schlecht,Gut,Sehr schlecht,Mittelmäßig,Gut,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,"C/C++, Java/Kotlin, C#, Python",,,,Bash/Konsolen-Scripts,,,,,,,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting"
31.05.2019 13:21:01,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Microsoft Visual Studio,Microsoft Visual Studio,Weil es die beste ist ,Keinen,Keinen,,Visual Studio Code,Visual Studio Code,,,,,,Mittelmäßig,Sehr gut,,,,,,,,,,C/C++,C/C++,,,,,,"Codevervollständigung, Codegenerierung, Syntax-Highlighting"
31.05.2019 13:21:13,"Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Keine,Keine,,Vim,Vim,,Gedit,Gedit,weil es sehr minimalistisch ist,,,,Gut,Gut,,,Sehr gut,,Gut,Mittelmäßig,,,,,,,,,,,"Java/Kotlin, Python","Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 13:21:57,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,360* Support für alle Sprachen (IntelliJ Ultimate),Nano,Nano,Das wenigste Übel halt,Visual Studio Code,Visual Studio Code,"Tolle UI, schneller start-up, am schnellsten in Gebrauch, auch bei ganzen Projekten, großen Dateien etc",Sehr gut,Mittelmäßig,Mittelmäßig,Sehr schlecht,Schlecht,Gut,Sehr schlecht,Sehr gut,Sehr schlecht,Schlecht,Sehr schlecht,"C/C++, Java/Kotlin, JavaScript, Python, Bash/Konsolen-Scripts",,,,,Bash/Konsolen-Scripts,,,,,,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 13:22:44,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,"Funktionsumfang, Stabilität",Vim,Vim,Verfügbarkeit auf vielen Systemen,Kate,Notepad++,Gutes Gesamtpaket,Sehr gut,Sehr schlecht,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Sehr gut,Gut,Nicht einschätzbar,Nicht einschätzbar,Java/Kotlin,,,"C/C++, Bash/Konsolen-Scripts",,"C/C++, C#",,,C/C++,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 13:22:47,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Keine,Keine,,Vim,Vim,"Leichte Benutzung, Praktisch, da in Konsole, habe die anderen nicht wirklich ausprobiert",Sublime,Sublime,Ist schick und praktisch,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Nicht einschätzbar,,,,"C/C++, Java/Kotlin, JavaScript, Python",,,,,,"C/C++, Java/Kotlin, JavaScript, Python",,"Codevervollständigung, Codegenerierung, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 13:23:28,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,Keine,,Vim,Vim,Schnell zu bedienen,Visual Studio Code,Visual Studio Code,"Hoher Funktionsumfang, Anpassbar",Gut,Schlecht,Nicht einschätzbar,Sehr gut,Mittelmäßig,Gut,Nicht einschätzbar,Nicht einschätzbar,Sehr schlecht,Gut,Schlecht,Java/Kotlin,,,,,,,,,Bash/Konsolen-Scripts,,"Codevervollständigung, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 13:26:55,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)",IntelliJ,IntelliJ,"Refeactoring, intelligent, funktioniert, einfaches git",Python IDLE,Keinen,,Keinen,Keinen,,Sehr gut,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Gut,Schlecht,Nicht einschätzbar,Nicht einschätzbar,Java/Kotlin,Java/Kotlin,,,,"C/C++, C#",,,C/C++,,,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Syntax-Highlighting, Funktion def finden, Argumente preview"
31.05.2019 13:28:33,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",PyCharm,PyCharm,Die meisten Möglichkeiten,Keinen,Keinen,,Notepad++,Notepad++,Die meiste Vielfalt an Sprachen,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Sehr gut,Gut,Gut,Nicht einschätzbar,,Java/Kotlin,,,,,Java/Kotlin,,C/C++,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 13:30:54,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Eclipse,Keine,,Vim,Keinen,,Sublime,Keinen,,,,,,,,,,,,,,,,,,,,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 13:33:47,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)",IntelliJ,IntelliJ,,Vim,Vim,,Atom,Keinen,,Gut,Sehr schlecht,Nicht einschätzbar,Sehr gut,Mittelmäßig,Schlecht,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Schlecht,"Java/Kotlin, JavaScript, Python",Java/Kotlin,,"C/C++, Java/Kotlin, JavaScript, PHP, Python, Bash/Konsolen-Scripts","JavaScript, Python",C#,Java/Kotlin,,,,Bash/Konsolen-Scripts,"Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 13:38:30,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Xcode,Xcode,"Modern, übersichtlich, gut strukturiert und vielseitig.",Nano,Nano,,Sublime,Sublime,Sehr performant und erweiterbar.,Nicht einschätzbar,Schlecht,Gut,Mittelmäßig,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Mittelmäßig,,Java/Kotlin,C/C++,Bash/Konsolen-Scripts,"C/C++, JavaScript, PHP, Python, Bash/Konsolen-Scripts",,PHP,,,"C/C++, JavaScript, PHP, Python, Bash/Konsolen-Scripts",Bash/Konsolen-Scripts,"Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
